"UrbanRural","TotalIncomeLastYear","TotalExpLastQ"
1,66000,8511.5333
1,38532,1564.25
1,86676,21804.65
1,112000,3898.5
1,41100,4696.3333
1,125988,3243.1333
1,131288,5905.05
1,23209,5264.4667
1,40000,8389.5
1,8600,1349.75
1,650,3965.2667
1,118000,19055.1
1,170000,17825.4999
1,9972,2287.3333
1,150000,35074.7245
1,23400,2185.3333
1,10496,1639.7667
1,39000,6088.3334
2,30516,13531.5333
1,99276,10229.4
2,18000,2717.6833
1,12164,4740.4
1,18400,4526.6667
1,1035933,1270597.7245
1,37000,4835.6667
1,24140,3573.6667
1,143000,4214.3334
1,33666,1478.9166
1,115000,8096.6667
1,84008,30196.9333
1,60500,7477.6667
1,114857,9698.9333
1,15297,4766.6
1,138385,4814.6667
1,208000,10512.4168
1,144000,15492
1,3216,5376.5999
1,7085,3460.9167
1,13182,2734.6999
1,44000,6807.6667
2,3456,1655.9667
1,3917,3453.8
1,95000,10019.5
1,58728,8567.2334
1,132433,16065.6667
1,39800,12104.2501
1,120000,30449.6733
1,16312,2646.9333
1,30000,11374.5
1,199000,57454.3368
2,118500,4842.5167
1,27000,3855.7666
1,82000,5157.2999
1,21036,2811.5166
1,20000,1525
1,80000,4673.8333
1,98608,16177.7499
1,5121,1567.5834
1,2000,3719.4
1,110708,4258.2667
1,107512,16085.75
1,16800,5730.1499
1,45000,2138.5834
1,90108,41496.5101
1,198750,29751.2501
2,99000,3459.8667
1,14729,2840.6
1,40102,3713.1834
1,9050,11758.2502
1,24000,1926.8333
1,16000,3667.2333
1,1608,9932.3
1,30000,5344.25
1,378786,19569.8334
1,129786,15272.2502
1,28000,8509.1666
1,56800,3918.5
1,127780,14991.3333
1,53200,3032.1667
1,17668,5527.4333
1,9600,2099.5001
1,18754,1832.15
1,230000,27951.2499
1,50000,8215.5
1,264386,4552.1167
1,41666,6505.0999
1,264386,7522.2245
1,50002,4293.4167
2,35000,2223.5
1,2150,22034.2
1,75000,6393.6667
1,73500,13326.5833
1,94200,4613.8333
1,29651,12565.5333
1,45000,3290.5834
1,114024,13658.9999
1,2453,6088
1,79608,5433.4
1,38038,7026.9
1,75000,16569.5666
1,17163,2573.3333
1,16008,2122.3333
1,44000,6450.7167
1,75000,4925.45
1,143645,27322.7501
1,76000,2103.2499
2,19608,1004.6333
1,75000,8576.3334
1,17359,3977.9333
1,75000,4320.5001
1,83200,3725.5
1,30171,13809.8
1,142000,4278.25
2,24000,3439.5834
1,26844,7262.9001
1,151608,20440.7001
1,115000,13704.2501
1,2000,110.3334
1,48606,23441.4334
2,14142,11740.1821
2,60828,3421.8667
1,154000,15678.8667
1,48000,5950.6667
1,21480,6637.3666
1,100000,9669.4666
1,145000,6055.6955
1,15900,4976.2501
1,1608,3730.25
1,63000,8004
1,19091,4856.4
1,24000,6065.8001
1,161740,6022.6667
1,633840,5566.0456
1,25680,6332.8667
1,20736,6639.7499
1,21865,6563.6667
1,34151,2025.4167
2,74864,7698.0334
1,97761,15726.25
1,1608,4346.4
1,26292,7172.9
1,3699,1049
1,21108,1884.4667
1,3216,10373.2667
1,88150,6688.3333
1,48000,14603.7501
1,70682,18106.75
1,53000,6533.8334
2,36492,7995.5333
1,24000,5290.1
1,56400,12319.7499
1,23564,16159.8
1,13304,2899.3334
1,11049,5811.6
1,9405,708
1,43800,7816.8333
1,80000,6653.4167
1,100000,15223
1,9150,2184.5
1,152000,6450.0833
1,98299,9447.4333
1,45000,8687.7501
1,12000,2619.0001
1,74000,10169.2
1,21988,2551.75
1,16671,911.4667
1,326811,24365.8368
1,140000,19693.6665
1,41520,4843
1,60000,11443.5
1,15000,2057.3334
1,75000,22263.5001
1,450,11577
1,7700,4703.8334
1,104000,11564.6667
1,2888,3434
1,80000,2161.0667
2,1093,823.1333
1,23804,1690.2167
1,46556,8826.0332
1,65000,10377.2501
1,17220,12212.8
1,125000,11875.9333
1,44594,7918.5333
1,431664,43487.7789
2,91000,11758.3998
1,31408,1814.7834
1,12000,3900.4334
1,90000,5260.5834
1,11306,6381.5001
1,114000,31336.7001
1,40791,6482.6
2,42672,2954.6001
1,35000,7633.0001
1,101241,10650.1667
1,41192,7875.1999
1,14256,4389
1,160200,16675.5579
1,35000,6791.45
1,23928,1810.8
1,296843,15168.5579
1,19608,588.4667
1,70000,10410.25
2,35348,7833.7501
1,32856,3375.5333
2,10536,1655
1,2350,1253.7667
1,75010,4544.6667
2,129080,13794.1667
1,16824,1968.85
1,16656,3882
1,8676,948.3333
1,38000,24901.5
1,18580,1976.4
1,75000,10254.7001
1,190000,4998.9167
1,17000,7353.9
1,22600,8613.9333
1,2500,1856.8335
1,194140,12798.9501
1,83000,7611.5001
1,79000,3046.2333
1,19200,6467.6
1,50000,4419.8333
1,70000,9788.2499
1,15247,4108.4667
1,11676,2251.4
1,19608,2525.4
1,1,5010
1,48568,4249.1833
1,8880,612
1,38532,10987.8667
1,79000,8790.6667
1,228000,6511.4167
1,40000,4695.4666
1,34000,3365.5
1,92000,21641.1667
1,357517,257167.7245
1,85000,9755.8667
1,81000,25744.0833
1,73600,8490.3333
1,47348,47139.4
1,159000,12878.3334
1,15000,3325
1,79508,7752.6333
1,200000,8287.0001
1,1500,2061.5
1,72500,11044.2501
1,82500,11473.0001
1,22584,6139.4
1,37653,18402.8
1,35400,1915.8333
1,9500,1910.1667
1,152916,15487.2001
1,130000,15983.75
1,13904,2129.4001
1,53000,3219.5001
2,1608,6877.4
1,85000,6985.1667
1,12456,8250.15
1,119453,7860
1,49200,6860.4999
1,39704,7171.4667
1,43000,9055.2001
1,60000,2171.5
1,15353,2929
1,41808,3751.05
1,205000,29883.7499
1,24000,1249.3333
1,35000,8965.5001
1,53600,5337.1001
1,65500,2826.25
